2021-05-03T15:20:32.516Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 4}
2021-05-03T15:20:32.716Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6}
2021-05-03T15:20:33.524Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 65798}
2021-05-03T15:20:33.740Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 72283}
2021-05-03T15:20:34.554Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 55808}
2021-05-03T15:20:34.754Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 24}
2021-05-03T15:20:35.557Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 34}
2021-05-03T15:20:35.758Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 36421}
2021-05-03T15:20:36.620Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 91112}
2021-05-03T15:20:36.833Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 60784}
2021-05-03T15:20:37.647Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6}
2021-05-03T15:20:37.848Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T15:20:38.651Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 67353}
2021-05-03T15:20:38.852Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 34448}
2021-05-03T15:20:39.660Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 9377}
2021-05-03T15:20:39.861Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 56234}
2021-05-03T15:20:40.665Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2}
2021-05-03T15:20:40.865Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T15:20:41.669Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 53583}
2021-05-03T15:20:41.871Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 62999}
2021-05-03T15:20:42.835Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 100000}
2021-05-03T15:20:43.048Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 55777}
2021-05-03T15:20:43.911Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T15:20:44.111Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2}
